------ Execution Data ------ 

Tamanho do Cubo: 25x25x25
N° de Células: 15625
Células Bloqueadas: 4687 (30%)
Número de Rotas (Start- Goal): 6000

 Block   ;G(n) ;Tempo (ms) 
[18,19,8]  ;  16  ;  2
[5,8,0]  ;  25  ;  9
[19,11,23]  ;  0  ;  0
[13,7,12]  ;  23  ;  12
[15,22,3]  ;  0  ;  0
[4,23,4]  ;  34  ;  43
[2,7,14]  ;  0  ;  0
[5,6,6]  ;  22  ;  10
[13,19,7]  ;  29  ;  27
[1,16,24]  ;  29  ;  33
[23,4,10]  ;  0  ;  0
[20,11,22]  ;  0  ;  0
[16,1,9]  ;  0  ;  0
[20,23,17]  ;  29  ;  31
[17,11,14]  ;  0  ;  0
[9,15,13]  ;  0  ;  0
[14,18,5]  ;  26  ;  13
[16,4,19]  ;  5  ;  0
[20,7,24]  ;  0  ;  0
[24,24,15]  ;  13  ;  2
[18,13,7]  ;  9  ;  1
[10,8,21]  ;  31  ;  39
[12,23,7]  ;  0  ;  0
[22,8,13]  ;  11  ;  1
[10,21,14]  ;  0  ;  0
[3,8,10]  ;  35  ;  36
[0,0,20]  ;  0  ;  0
[22,7,6]  ;  0  ;  0
[22,18,14]  ;  27  ;  10
[7,0,11]  ;  19  ;  7
